Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
GermÃ¡n Valera,MF,Elche,es La Liga,23.0,6000000,15841959.0,9841959.0,2.6403265
Romain Perraud,DF,Lille,fr Ligue 1,27.0,7000000,16762662.0,9762662.0,2.394666
Tani Oluwaseyi,FW,Villarreal,es La Liga,25.0,7000000,16745182.0,9745182.0,2.392168857142857
Bukayo Saka,FW,Arsenal,eng Premier League,23.0,110000000,119702170.0,9702168.0,1.0882015272727272
Nordi Mukiele,DF,Sunderland,eng Premier League,27.0,16000000,25525904.0,9525904.0,1.595369
Chris FÃ¼hrich,MF,Stuttgart,de Bundesliga,27.0,12000000,21509076.0,9509076.0,1.792423
Lautaro MartÃ­nez,FW,Inter,it Serie A,27.0,85000000,94396830.0,9396832.0,1.1105509647058824
Ignace Van Der Brempt,DF,Como,it Serie A,23.0,3000000,12367983.0,9367983.0,4.122661
Hiroki Ito,DF,Bayern Munich,de Bundesliga,26.0,18000000,27362744.0,9362744.0,1.5201524444444445
Armando Broja,FW,Burnley,eng Premier League,23.0,5000000,14335814.0,9335814.0,2.8671628
Noah Sadiki,MF,Sunderland,eng Premier League,20.0,35000000,44266200.0,9266200.0,1.2647485714285713
Robin Roefs,GK,Sunderland,eng Premier League,22.0,28000000,37212016.0,9212016.0,1.3290005714285715
David Brooks,MF,Bournemouth,eng Premier League,28.0,12000000,21200096.0,9200096.0,1.7666746666666666
James Garner,MF,Everton,eng Premier League,24.0,45000000,54182010.0,9182008.0,1.2040446222222223
Frank Magri,FW,Toulouse,fr Ligue 1,25.0,3000000,12161659.0,9161659.0,4.053886333333334
Wesley,MF,Roma,it Serie A,21.0,40000000,49153412.0,9153412.0,1.2288353
James Hill,DF,Bournemouth,eng Premier League,23.0,23000000,32022888.0,9022888.0,1.3922994782608695
Rodrigo Riquelme,MF,Real Betis,es La Liga,25.0,4000000,12943327.0,8943327.0,3.23583175
Vitaly Janelt,MF,Brentford,eng Premier League,27.0,16000000,24893588.0,8893588.0,1.55584925
Dominic Calvert-Lewin,FW,Leeds United,eng Premier League,28.0,22000000,30887700.0,8887700.0,1.4039863636363636
Santi ComesaÃ±a,MF,Villarreal,es La Liga,28.0,8000000,16694827.0,8694827.0,2.086853375
Kevin Schade,MF,Brentford,eng Premier League,23.0,35000000,43692444.0,8692444.0,1.248355542857143
Phillip Tietz,FW,Mainz 05,de Bundesliga,28.0,4000000,12599393.0,8599393.0,3.14984825
