Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
AdriÃ¡n Liso,FW,Getafe,es La Liga,20.0,3000000,6400973.5,3400973.5,2.1336578333333334
Henrikh Mkhitaryan,MF,Inter,it Serie A,36.0,3000000,6351015.5,3351015.5,2.1170051666666665
CÃ©sar TÃ¡rrega,DF,Valencia,es La Liga,23.0,9000000,12331966.0,3331966.0,1.3702184444444445
Ramy Bensebaini,DF,Dortmund,de Bundesliga,30.0,7000000,10309936.0,3309936.0,1.472848
Pablo DurÃ¡n,FW,Celta Vigo,es La Liga,24.0,4000000,7308252.5,3308252.5,1.827063125
Julian Brandt,MF,Dortmund,de Bundesliga,29.0,15000000,18303184.0,3303184.0,1.2202122666666666
Rodrigo Ribeiro,FW,Augsburg,de Bundesliga,20.0,4000000,7296086.5,3296086.5,1.824021625
Bryan Okoh,DF,Auxerre,fr Ligue 1,22.0,4000000,7292240.0,3292240.0,1.82306
Nathaniel Adjei,DF,Lorient,fr Ligue 1,22.0,1500000,4791196.0,3291196.0,3.1941306666666667
Lucas,MF,Burnley,eng Premier League,24.0,400000,3665096.8,3265096.75,9.162741875
Aaron Zehnter,DF,Wolfsburg,de Bundesliga,20.0,5000000,8261299.5,3261299.5,1.6522599
Andrej KramariÄ‡,MF,Hoffenheim,de Bundesliga,34.0,2500000,5756216.5,3256216.5,2.3024866
Roony Bardghji,MF,Barcelona,es La Liga,19.0,15000000,18255280.0,3255280.0,1.2170186666666667
Lewis Dunk,DF,Brighton,eng Premier League,33.0,3500000,6721925.0,3221925.0,1.92055
Vitaliy Mykolenko,DF,Everton,eng Premier League,26.0,25000000,28220884.0,3220884.0,1.12883536
Ibrahim SangarÃ©,MF,Nottingham Forest,eng Premier League,27.0,20000000,23206296.0,3206296.0,1.1603148
Jaka Bijol,DF,Leeds United,eng Premier League,26.0,20000000,23193952.0,3193952.0,1.1596976
Himad Abdelli,MF,Angers,fr Ligue 1,25.0,5000000,8169203.5,3169203.5,1.6338407
Marvin Senaya,DF,Auxerre,fr Ligue 1,24.0,3000000,6141817.5,3141817.5,2.0472725
Bernardo,DF,Hoffenheim,de Bundesliga,30.0,4000000,7124619.5,3124619.5,1.781154875
Jan SchÃ¶ppner,MF,Heidenheim,de Bundesliga,26.0,3000000,6098091.0,3098091.0,2.032697
Youssef Maleh,MF,Cremonese,it Serie A,26.0,1500000,4585388.5,3085388.5,3.056925666666667
Soungoutou Magassa,MF,West Ham United,eng Premier League,21.0,17000000,20084372.0,3084372.0,1.1814336470588236
Yannik Engelhardt,MF,Gladbach,de Bundesliga,24.0,7000000,10084215.0,3084215.0,1.440602142857143
Ansu Fati,MF,Monaco,fr Ligue 1,22.0,15000000,18066428.0,3066428.0,1.2044285333333333
Alidu Seidu,DF,Rennes,fr Ligue 1,25.0,6000000,9057433.0,3057433.0,1.5095721666666666
Samir Chergui,DF,Paris FC,fr Ligue 1,26.0,3000000,6053284.5,3053284.5,2.0177615
Sebastian Walukiewicz,DF,Sassuolo,it Serie A,25.0,5000000,8004942.0,3004942.0,1.6009884
KrÃ©pin Diatta,MF,Monaco,fr Ligue 1,26.0,6000000,8999452.0,2999452.0,1.4999086666666666
VladimÃ­r Coufal,DF,Hoffenheim,de Bundesliga,32.0,2500000,5480418.5,2980418.5,2.1921674
Sebastiano Luperto,DF,Cagliari,it Serie A,28.0,4000000,6968544.0,2968544.0,1.742136
Brenden Aaronson,MF,Leeds United,eng Premier League,24.0,22000000,24968196.0,2968196.0,1.134918
Florian Thauvin,MF,Lens,fr Ligue 1,32.0,5000000,7953979.5,2953979.5,1.5907959
JurriÃ«n Timber,DF,Arsenal,eng Premier League,24.0,70000000,72942130.0,2942128.0,1.0420304
Domingos Duarte,DF,Getafe,es La Liga,30.0,800000,3718729.5,2918729.5,4.648411875
Sebastian Sebulonsen,DF,KÃ¶ln,de Bundesliga,25.0,5500000,8413143.0,2913143.0,1.5296623636363635
Jurgen Ekkelenkamp,MF,Udinese,it Serie A,25.0,10000000,12909180.0,2909180.0,1.290918
Ousmane Camara,DF,Angers,fr Ligue 1,22.0,8000000,10889981.0,2889981.0,1.361247625
Giacomo Raspadori,MF,Atalanta,it Serie A,25.0,22000000,24883524.0,2883524.0,1.1310692727272726
Goduine Koyalipou,FW,Angers,fr Ligue 1,25.0,2500000,5379355.5,2879355.5,2.1517422
Giuseppe Pezzella,MF,Cremonese,it Serie A,27.0,2000000,4877468.0,2877468.0,2.438734
Ilyas Chaira,MF,Oviedo,es La Liga,24.0,4000000,6863032.5,2863032.5,1.715758125
Rafik Messali,MF,Toulouse,fr Ligue 1,22.0,1500000,4342692.0,2842692.0,2.895128
Youssouf Fofana,MF,Milan,it Serie A,26.0,23000000,25833596.0,2833596.0,1.1231998260869565
Axel Tuanzebe,DF,Burnley,eng Premier League,27.0,5000000,7824916.0,2824916.0,1.5649832
Juan Miranda,DF,Bologna,it Serie A,25.0,15000000,17819716.0,2819716.0,1.1879810666666666
Joel Roca,MF,Girona,es La Liga,20.0,6000000,8814847.0,2814847.0,1.4691411666666667
Facundo GarcÃ©s,DF,AlavÃ©s,es La Liga,25.0,1000000,3810756.0,2810756.0,3.810756
David MÃ¸ller Wolfe,MF,Wolves,eng Premier League,23.0,8000000,10810347.0,2810347.0,1.351293375
Valentin Rosier,DF,Osasuna,es La Liga,28.0,3000000,5789927.5,2789927.5,1.9299758333333332
Rafa Mir,FW,Elche,es La Liga,28.0,4000000,6780838.0,2780838.0,1.6952095
William Mikelbrencis,MF,Hamburger SV,de Bundesliga,21.0,3000000,5770215.5,2770215.5,1.9234051666666667
Alejandro FrancÃ©s,DF,Girona,es La Liga,22.0,3000000,5765666.5,2765666.5,1.9218888333333333
Lautaro Valenti,DF,Parma,it Serie A,26.0,2000000,4753167.0,2753167.0,2.3765835
Pablo Torre,MF,Mallorca,es La Liga,22.0,5000000,7735840.5,2735840.5,1.5471681
Martin Terrier,MF,Leverkusen,de Bundesliga,28.0,8000000,10725075.0,2725075.0,1.340634375
Panos Katseris,MF,Lorient,fr Ligue 1,24.0,2000000,4717145.0,2717145.0,2.3585725
Lorenzo Pellegrini,MF,Roma,it Serie A,29.0,8000000,10704230.0,2704230.0,1.33802875
Sheraldo Becker,FW,Mainz 05,de Bundesliga,30.0,1500000,4202491.0,2702491.0,2.801660666666667
Fabiano Parisi,MF,Fiorentina,it Serie A,24.0,6000000,8693128.0,2693128.0,1.4488546666666666
Josh Cullen,MF,Burnley,eng Premier League,29.0,4000000,6687129.5,2687129.5,1.671782375
Jakub Piotrowski,MF,Udinese,it Serie A,27.0,4500000,7187096.5,2687096.5,1.5971325555555556
Adrien Thomasson,MF,Lens,fr Ligue 1,31.0,4000000,6680500.0,2680500.0,1.670125
Javi Rueda,MF,Celta Vigo,es La Liga,23.0,6000000,8673982.0,2673982.0,1.4456636666666667
Martin Satriano,FW,Getafe,es La Liga,24.0,10000000,12672757.0,2672757.0,1.2672757
Ainsley Maitland-Niles,DF,Lyon,fr Ligue 1,27.0,10000000,12659687.0,2659687.0,1.2659687
Joe Scally,DF,Gladbach,de Bundesliga,22.0,7000000,9652498.0,2652498.0,1.3789282857142857
Mahdi Camara,MF,Rennes,fr Ligue 1,27.0,12000000,14649880.0,2649880.0,1.2208233333333334
Lameck Banda,MF,Lecce,it Serie A,24.0,3500000,6148879.5,2648879.5,1.7568227142857142
Manu Morlanes,MF,Mallorca,es La Liga,26.0,2400000,5040287.5,2640287.5,2.1001197916666667
Carlos MartÃ­n,MF,Rayo Vallecano,es La Liga,23.0,1500000,4134206.0,2634206.0,2.756137333333333
Luke O'Nien,DF,Sunderland,eng Premier League,30.0,700000,3332001.2,2632001.25,4.760001785714286
Joseph Aidoo,DF,Celta Vigo,es La Liga,29.0,1000000,3619147.8,2619147.75,3.61914775
Ernest Poku,MF,Leverkusen,de Bundesliga,21.0,25000000,27612088.0,2612088.0,1.10448352
Azzedine Ounahi,MF,Girona,es La Liga,25.0,10000000,12601027.0,2601027.0,1.2601027
ArsÃ¨ne Kouassi,MF,Lorient,fr Ligue 1,20.0,15000000,17568660.0,2568660.0,1.171244
SaÃºl Coco,DF,Torino,it Serie A,26.0,7500000,10065902.0,2565902.0,1.3421202666666667
Thibault De Smet,DF,Paris FC,fr Ligue 1,27.0,1800000,4360420.5,2560420.5,2.4224558333333333
Djaoui CissÃ©,MF,Rennes,fr Ligue 1,21.0,10000000,12553361.0,2553361.0,1.2553361
Javi Puado,MF,Espanyol,es La Liga,27.0,7500000,9998089.0,2498089.0,1.3330785333333333
Julian Niehues,MF,Heidenheim,de Bundesliga,24.0,1500000,3984811.8,2484811.75,2.6565411666666665
Andrej Ilic,FW,Union Berlin,de Bundesliga,25.0,9000000,11461664.0,2461664.0,1.2735182222222223
Piotr ZieliÅ„ski,MF,Inter,it Serie A,31.0,10000000,12452059.0,2452059.0,1.2452059
Patrick Mainka,DF,Heidenheim,de Bundesliga,30.0,2500000,4946916.5,2446916.5,1.9787666
Domagoj BradariÄ‡,MF,Hellas Verona,it Serie A,25.0,1500000,3933744.0,2433744.0,2.622496
Lucas BoyÃ©,FW,AlavÃ©s,es La Liga,29.0,5000000,7412460.5,2412460.5,1.4824921
Warren Kamanzi,MF,Toulouse,fr Ligue 1,24.0,1200000,3609279.8,2409279.75,3.007733125
Matteo Politano,MF,Napoli,it Serie A,31.0,5000000,7405670.5,2405670.5,1.4811341
Wilson Odobert,MF,Tottenham Hotspur,eng Premier League,20.0,18000000,20404936.0,2404936.0,1.1336075555555556
Marc Aguado,MF,Elche,es La Liga,25.0,3500000,5894149.0,2394149.0,1.6840425714285714
James Tarkowski,DF,Everton,eng Premier League,32.0,5000000,7392355.0,2392355.0,1.478471
Umar Sadiq,FW,Valencia,es La Liga,28.0,4000000,6392274.5,2392274.5,1.598068625
Walid Cheddira,FW,Lecce,it Serie A,27.0,2000000,4388651.5,2388651.5,2.19432575
Wilson Isidor,FW,Sunderland,eng Premier League,24.0,18000000,20386536.0,2386536.0,1.1325853333333333
Marcus Pedersen,MF,Torino,it Serie A,25.0,3500000,5882081.5,2382081.5,1.6805947142857143
Hjalmar Ekdal,DF,Burnley,eng Premier League,26.0,5000000,7378247.5,2378247.5,1.4756495
VÃ­ctor Chust,DF,Elche,es La Liga,25.0,3500000,5869882.0,2369882.0,1.677109142857143
Sebastiano Luperto,DF,Cremonese,it Serie A,28.0,4000000,6361751.0,2361751.0,1.59043775
Saud Abdulhamid,MF,Lens,fr Ligue 1,26.0,9000000,11350235.0,2350235.0,1.2611372222222221
Rasmus Nicolaisen,DF,Toulouse,fr Ligue 1,28.0,5000000,7339669.5,2339669.5,1.4679339
Rayan Philippe,FW,Hamburger SV,de Bundesliga,24.0,4000000,6332943.5,2332943.5,1.583235875
Ayumu Seko,MF,Le Havre,fr Ligue 1,25.0,5000000,7326682.5,2326682.5,1.4653365
Woyo Coulibaly,DF,Sassuolo,it Serie A,26.0,2000000,4322800.0,2322800.0,2.1614
Josh Laurent,DF,Burnley,eng Premier League,30.0,1500000,3817674.8,2317674.75,2.5451165
Ross Barkley,MF,Aston Villa,eng Premier League,31.0,4000000,6307802.5,2307802.5,1.576950625
Pedro DÃ­az,MF,Rayo Vallecano,es La Liga,27.0,3000000,5299346.5,2299346.5,1.7664488333333332
Alessandro Zanoli,MF,Udinese,it Serie A,24.0,4500000,6798619.0,2298619.0,1.5108042222222222
Bryan Cristante,MF,Roma,it Serie A,30.0,7000000,9279300.0,2279300.0,1.3256142857142856
Jordan Lefort,DF,Angers,fr Ligue 1,31.0,1000000,3278576.2,2278576.25,3.27857625
Oussama El Azzouzi,MF,Auxerre,fr Ligue 1,24.0,1800000,4075510.0,2275510.0,2.2641722222222223
Vedat Muriqi,FW,Mallorca,es La Liga,31.0,4500000,6773954.5,2273954.5,1.5053232222222221
Bamo MeÃ¯tÃ©,DF,Lorient,fr Ligue 1,23.0,7000000,9270437.0,2270437.0,1.3243481428571429
Marko DmitroviÄ‡,GK,Espanyol,es La Liga,33.0,700000,2967199.8,2267199.75,4.238856785714286
Edoardo Motta,GK,Lazio,it Serie A,20.0,8000000,10247513.0,2247513.0,1.280939125
Joel Mvuka,MF,Lorient,fr Ligue 1,22.0,1500000,3737206.2,2237206.25,2.4914708333333335
Martin Valjent,DF,Mallorca,es La Liga,29.0,3000000,5235255.0,2235255.0,1.745085
Derry Scherhant,MF,Freiburg,de Bundesliga,22.0,7500000,9734403.0,2234403.0,1.2979204
Lewis Cook,MF,Bournemouth,eng Premier League,28.0,11000000,13230117.0,2230117.0,1.2027379090909092
Nicola Zalewski,MF,Atalanta,it Serie A,23.0,20000000,22222768.0,2222768.0,1.1111384
Tete Morente,MF,Elche,es La Liga,28.0,1800000,4016597.5,2216597.5,2.2314430555555558
Lassine Sinayoko,FW,Auxerre,fr Ligue 1,25.0,10000000,12214219.0,2214219.0,1.2214219
Lamine Sy,DF,Auxerre,fr Ligue 1,22.0,2500000,4708749.0,2208749.0,1.8834996
Abde Ezzalzouli,MF,Real Betis,es La Liga,23.0,40000000,42201496.0,2201496.0,1.0550374
Philipp Sander,DF,Gladbach,de Bundesliga,27.0,4000000,6194228.5,2194228.5,1.548557125
LoÃ¯c Bade,DF,Leverkusen,de Bundesliga,25.0,20000000,22189688.0,2189688.0,1.1094844
Timo HÃ¼bers,DF,KÃ¶ln,de Bundesliga,29.0,1500000,3689315.0,2189315.0,2.4595433333333334
Daniel Maldini,FW,Lazio,it Serie A,23.0,9000000,11181728.0,2181728.0,1.2424142222222223
Nhoa Sangui,DF,Paris FC,fr Ligue 1,19.0,10000000,12176955.0,2176955.0,1.2176955
Yanis Zouaoui,DF,Le Havre,fr Ligue 1,27.0,2500000,4671851.0,2171851.0,1.8687404
Senne Lammens,GK,Manchester Utd,eng Premier League,23.0,35000000,37171790.0,2171792.0,1.0620512
Luca Koleosho,MF,Paris FC,fr Ligue 1,20.0,6000000,8169718.0,2169718.0,1.3616196666666667
Yann Gboho,MF,Toulouse,fr Ligue 1,24.0,18000000,20167516.0,2167516.0,1.1204175555555556
Jonathan Fischer,GK,Metz,fr Ligue 1,23.0,2000000,4145635.8,2145635.75,2.072817875
Pau Navarro,DF,Villarreal,es La Liga,20.0,15000000,17144376.0,2144376.0,1.1429584
PÃ©ter GulÃ¡csi,GK,RB Leipzig,de Bundesliga,35.0,1000000,3133106.0,2133106.0,3.133106
Abel Bretones,MF,Osasuna,es La Liga,24.0,3500000,5616576.5,2116576.5,1.604736142857143
Ruben Aguilar,MF,Lens,fr Ligue 1,32.0,2500000,4613909.5,2113909.5,1.8455638
Arkadiusz Pyrka,MF,St Pauli,de Bundesliga,22.0,3500000,5612143.0,2112143.0,1.6034694285714286
Oliver Burke,FW,Union Berlin,de Bundesliga,28.0,3000000,5097717.0,2097717.0,1.699239
Andrias Edmundsson,DF,Hellas Verona,it Serie A,24.0,3000000,5094660.0,2094660.0,1.69822
Emil Audero,GK,Cremonese,it Serie A,28.0,2800000,4889660.5,2089660.5,1.7463073214285714
RaÃºl Moro,MF,Osasuna,es La Liga,22.0,3500000,5589341.5,2089341.5,1.5969547142857143
Medon Berisha,MF,Lecce,it Serie A,21.0,5000000,7089267.0,2089267.0,1.4178534
Gvidas Gineitis,MF,Torino,it Serie A,21.0,5500000,7588119.0,2088119.0,1.379658
Pascal Struijk,DF,Leeds United,eng Premier League,25.0,22000000,24082040.0,2082040.0,1.0946381818181818
Deniz Undav,FW,Stuttgart,de Bundesliga,29.0,22000000,24075472.0,2075472.0,1.0943396363636364
Yerson Mosquera,DF,Wolves,eng Premier League,24.0,12000000,14074390.0,2074390.0,1.1728658333333333
JoÃ«l Schmied,DF,KÃ¶ln,de Bundesliga,26.0,3000000,5073863.5,2073863.5,1.6912878333333334
Matteo Cancellieri,FW,Lazio,it Serie A,23.0,7000000,9061390.0,2061390.0,1.2944842857142858
Ritsu Doan,MF,Eintracht Frankfurt,de Bundesliga,27.0,17000000,19040360.0,2040360.0,1.1200211764705883
Fran BeltrÃ¡n,MF,Celta Vigo,es La Liga,26.0,4000000,6036808.0,2036808.0,1.509202
Matteo Prati,MF,Cagliari,it Serie A,21.0,5500000,7535259.5,2035259.5,1.3700471818181819
Jon Moncayola,MF,Osasuna,es La Liga,27.0,7000000,9025839.0,2025839.0,1.2894055714285715
Enzo Ebosse,DF,Torino,it Serie A,26.0,2800000,4807682.5,2007682.5,1.7170294642857142
Thomas Meunier,DF,Lille,fr Ligue 1,33.0,1500000,3507156.0,2007156.0,2.338104
Luca Jaquez,DF,Stuttgart,de Bundesliga,22.0,10000000,12004964.0,2004964.0,1.2004964
Clinton Mata,DF,Lyon,fr Ligue 1,32.0,2500000,4504261.5,2004261.5,1.8017046
Alberto Moreno,DF,Como,it Serie A,33.0,1000000,3004215.5,2004215.5,3.0042155
Andrew Omobamidele,DF,Strasbourg,fr Ligue 1,23.0,8000000,9984387.0,1984387.0,1.248048375
Jorge Herrando,DF,Osasuna,es La Liga,24.0,3500000,5479007.5,1979007.5,1.5654307142857142
Oumar Ngom,MF,Lecce,it Serie A,21.0,3000000,4975119.0,1975119.0,1.658373
Ignatius Ganago,FW,Nantes,fr Ligue 1,26.0,2000000,3973109.2,1973109.25,1.986554625
Fran BeltrÃ¡n,MF,Girona,es La Liga,26.0,4000000,5961620.0,1961620.0,1.490405
Budu Zivzivadze,FW,Heidenheim,de Bundesliga,31.0,1200000,3159984.0,1959984.0,2.63332
Abde Rebbach,MF,AlavÃ©s,es La Liga,26.0,2500000,4455629.0,1955629.0,1.7822516
Ao Tanaka,MF,Leeds United,eng Premier League,26.0,13000000,14950482.0,1950482.0,1.150037076923077
RÃ©my Labeau Lascary,MF,Brest,fr Ligue 1,22.0,4000000,5948784.5,1948784.5,1.487196125
Grischa PrÃ¶mel,MF,Hoffenheim,de Bundesliga,30.0,3500000,5445107.0,1945107.0,1.5557448571428572
Jamie Gittens,MF,Chelsea,eng Premier League,20.0,30000000,31937248.0,1937248.0,1.0645749333333334
Yukinari Sugawara,DF,Werder Bremen,de Bundesliga,25.0,5500000,7432982.0,1932982.0,1.3514512727272727
Gorka Guruzeta,FW,Athletic Club,es La Liga,28.0,5000000,6931149.5,1931149.5,1.3862299
Cristian CÃ¡sseres Jr.,MF,Toulouse,fr Ligue 1,25.0,9000000,10927704.0,1927704.0,1.2141893333333333
Ryan Yates,MF,Nottingham Forest,eng Premier League,27.0,7000000,8921706.0,1921706.0,1.2745294285714286
Jacen Russell-Rowe,FW,Toulouse,fr Ligue 1,22.0,3000000,4919605.5,1919605.5,1.6398685
Mikkel Kaufmann,FW,Heidenheim,de Bundesliga,24.0,1500000,3419463.0,1919463.0,2.279642
RubÃ©n,DF,Espanyol,es La Liga,24.0,75000,1991333.1,1916333.125,26.55110833333333
Carlos Vicente,MF,AlavÃ©s,es La Liga,26.0,4000000,5908849.5,1908849.5,1.477212375
Paco CortÃ©s,MF,Levante,es La Liga,17.0,1500000,3393613.0,1893613.0,2.2624086666666665
Mario Hermoso,DF,Roma,it Serie A,30.0,7000000,8888669.0,1888669.0,1.269809857142857
Hugo Sotelo,MF,Celta Vigo,es La Liga,21.0,5000000,6882519.0,1882519.0,1.3765038
Pablo Pagis,MF,Lorient,fr Ligue 1,22.0,15000000,16880960.0,1880960.0,1.1253973333333334
Nicolai Remberg,MF,Hamburger SV,de Bundesliga,25.0,9000000,10880555.0,1880555.0,1.2089505555555555
Nahuel Tenaglia,DF,AlavÃ©s,es La Liga,29.0,3000000,4874515.0,1874515.0,1.6248383333333334
SaÅ¡a LukiÄ‡,MF,Fulham,eng Premier League,28.0,10000000,11872934.0,1872934.0,1.1872934
Laurent Abergel,MF,Lorient,fr Ligue 1,32.0,1800000,3671386.8,1871386.75,2.0396593055555554
MattÃ©o Tramoni,MF,Pisa,it Serie A,25.0,4500000,6365004.0,1865004.0,1.4144453333333333
Matheus Nunes,DF,Manchester City,eng Premier League,26.0,50000000,51857170.0,1857168.0,1.03714336
Eric Martel,MF,KÃ¶ln,de Bundesliga,23.0,8000000,9854768.0,1854768.0,1.231846
Nnamdi Collins,DF,Eintracht Frankfurt,de Bundesliga,21.0,20000000,21854212.0,1854212.0,1.0927106
Milos Kerkez,DF,Liverpool,eng Premier League,21.0,35000000,36853548.0,1853548.0,1.0529585142857143
Chancel Mbemba,DF,Lille,fr Ligue 1,30.0,2000000,3833713.2,1833713.25,1.916856625
Fredrik Oppegard,MF,Auxerre,fr Ligue 1,22.0,1500000,3327768.2,1827768.25,2.2185121666666667
Jon Aramburu,DF,Real Sociedad,es La Liga,23.0,15000000,16821756.0,1821756.0,1.1214504
Pablo Maffeo,DF,Mallorca,es La Liga,28.0,3000000,4787090.0,1787090.0,1.5956966666666668
Ibou SanÃ©,FW,Metz,fr Ligue 1,20.0,300000,2086672.4,1786672.375,6.955574583333333
Loum Tchaouna,MF,Burnley,eng Premier League,21.0,13000000,14783210.0,1783210.0,1.13717
Manu FernÃ¡ndez,DF,Celta Vigo,es La Liga,24.0,1500000,3260270.8,1760270.75,2.1735138333333333
Andreas Hountondji,FW,St Pauli,de Bundesliga,23.0,3000000,4755321.0,1755321.0,1.585107
Josh Doig,DF,Sassuolo,it Serie A,23.0,4500000,6236104.5,1736104.5,1.385801
Kervin Arriaga,MF,Levante,es La Liga,27.0,2000000,3726532.8,1726532.75,1.863266375
Santiago Pierotti,MF,Lecce,it Serie A,24.0,4000000,5706711.5,1706711.5,1.426677875
Mathias LÃ¸vik,MF,Parma,it Serie A,21.0,4000000,5706477.5,1706477.5,1.426619375
Tyrhys Dolan,MF,Espanyol,es La Liga,23.0,10000000,11686699.0,1686699.0,1.1686699
IonuÈ› Radu,GK,Celta Vigo,es La Liga,28.0,9000000,10681021.0,1681021.0,1.1867801111111111
Jonas FÃ¶hrenbach,DF,Heidenheim,de Bundesliga,29.0,1000000,2674584.5,1674584.5,2.6745845
Vincent Marchetti,MF,Paris FC,fr Ligue 1,28.0,1500000,3168475.5,1668475.5,2.112317
Yann Sommer,GK,Inter,it Serie A,36.0,2000000,3661173.8,1661173.75,1.830586875
Stefan Posch,DF,Mainz 05,de Bundesliga,28.0,6000000,7651456.0,1651456.0,1.2752426666666667
ThÃ©o De Percin,GK,Auxerre,fr Ligue 1,24.0,400000,2049239.9,1649239.875,5.1230996875
Jesus Vazquez,DF,Valencia,es La Liga,22.0,4000000,5645080.5,1645080.5,1.411270125
FodÃ© DoucourÃ©,MF,Le Havre,fr Ligue 1,24.0,2000000,3644049.2,1644049.25,1.822024625
Badredine Bouanani,MF,Stuttgart,de Bundesliga,20.0,10000000,11643558.0,1643558.0,1.1643558
Manu SÃ¡nchez,DF,Levante,es La Liga,24.0,6000000,7626664.5,1626664.5,1.27111075
Chris Rigg,MF,Sunderland,eng Premier League,18.0,25000000,26620008.0,1620008.0,1.06480032
Robert Andrich,DF,Leverkusen,de Bundesliga,30.0,6000000,7616757.5,1616757.5,1.2694595833333333
Oliver Baumann,GK,Hoffenheim,de Bundesliga,35.0,2500000,4110033.2,1610033.25,1.6440133
Mohamed Bamba,FW,Lorient,fr Ligue 1,23.0,2000000,3609603.2,1609603.25,1.804801625
KauÃ£ Santos,GK,Eintracht Frankfurt,de Bundesliga,22.0,7000000,8608590.0,1608590.0,1.2297985714285715
Niklas Dorsch,MF,Heidenheim,de Bundesliga,27.0,2500000,4092413.2,1592413.25,1.6369653
AÃ¯ssa Mandi,DF,Lille,fr Ligue 1,33.0,1000000,2586345.0,1586345.0,2.586345
Junior Adamu,FW,Freiburg,de Bundesliga,24.0,3000000,4585423.5,1585423.5,1.5284745
Gonzalo Villar,MF,Elche,es La Liga,27.0,1800000,3361899.8,1561899.75,1.8677220833333332
Oier Zarraga,MF,Udinese,it Serie A,26.0,1500000,3054824.0,1554824.0,2.0365493333333333
HÃ©ctor BellerÃ­n,DF,Real Betis,es La Liga,30.0,2400000,3952297.5,1552297.5,1.646790625
Pablo MartÃ­nez,MF,Levante,es La Liga,27.0,3000000,4550403.0,1550403.0,1.516801
Adama Camara,MF,Paris FC,fr Ligue 1,28.0,3000000,4545008.0,1545008.0,1.5150026666666667
Moritz Nicolas,GK,Gladbach,de Bundesliga,27.0,8000000,9536496.0,1536496.0,1.192062
Marc Casado,MF,Barcelona,es La Liga,21.0,18000000,19536144.0,1536144.0,1.0853413333333333
Rico Henry,DF,Brentford,eng Premier League,28.0,13000000,14534765.0,1534765.0,1.118058846153846
Tyrone Mings,DF,Aston Villa,eng Premier League,32.0,3000000,4522762.0,1522762.0,1.5075873333333334
Kelvin Amian,DF,Nantes,fr Ligue 1,27.0,2000000,3520406.0,1520406.0,1.760203
Federico Ravaglia,GK,Bologna,it Serie A,25.0,1800000,3307720.8,1507720.75,1.837622638888889
Jorge Cuenca,DF,Fulham,eng Premier League,25.0,8000000,9492090.0,1492090.0,1.18651125
Oliver Jensen,MF,Parma,it Serie A,23.0,100000,1588714.9,1488714.875,15.88714875
Lesley Ugochukwu,MF,Burnley,eng Premier League,21.0,22000000,23476084.0,1476084.0,1.0670947272727274
AndrÃ© Silva,FW,Elche,es La Liga,29.0,3000000,4467325.5,1467325.5,1.4891085
Konstantinos Mavropanos,DF,West Ham United,eng Premier League,27.0,18000000,19467296.0,1467296.0,1.0815164444444445
Alberto Reina,MF,Oviedo,es La Liga,27.0,2000000,3450939.2,1450939.25,1.725469625
Keinan Davis,FW,Udinese,it Serie A,27.0,10000000,11450607.0,1450607.0,1.1450607
JosuÃ© Casimir,MF,Auxerre,fr Ligue 1,23.0,3000000,4448852.5,1448852.5,1.4829508333333334
Matias Moreno,DF,Levante,es La Liga,21.0,6000000,7434173.0,1434173.0,1.2390288333333332
IvÃ¡n Romero,FW,Levante,es La Liga,24.0,8000000,9431776.0,1431776.0,1.178972
LÃ©o PÃ©trot,DF,Elche,es La Liga,28.0,1500000,2928522.5,1428522.5,1.9523483333333334
Tanguy Nianzou,DF,Sevilla,es La Liga,23.0,1200000,2625919.2,1425919.25,2.1882660416666666
Ylber Ramadani,MF,Lecce,it Serie A,29.0,1800000,3223240.2,1423240.25,1.7906890277777778
Ãlvaro GarcÃ­a,MF,Rayo Vallecano,es La Liga,32.0,1500000,2922510.0,1422510.0,1.94834
Antonino Gallo,DF,Lecce,it Serie A,25.0,3500000,4920070.0,1420070.0,1.4057342857142858
Michael Keane,DF,Everton,eng Premier League,32.0,3000000,4416421.0,1416421.0,1.4721403333333334
Benedikt Gimber,DF,Heidenheim,de Bundesliga,28.0,1500000,2904563.2,1404563.25,1.9363755
Esteban Lepaul,FW,Rennes,fr Ligue 1,25.0,35000000,36400092.0,1400092.0,1.0400026285714286
Giorgi Gocholeishvili,MF,Hamburger SV,de Bundesliga,24.0,2000000,3384915.0,1384915.0,1.6924575
Tom KrauÃŸ,MF,KÃ¶ln,de Bundesliga,24.0,4500000,5880045.5,1380045.5,1.3066767777777777
Lilian Brassier,DF,Rennes,fr Ligue 1,25.0,12000000,13378718.0,1378718.0,1.1148931666666666
John Donald,DF,Elche,es La Liga,24.0,1000000,2376792.8,1376792.75,2.37679275
Francesco Folino,DF,Cremonese,it Serie A,23.0,800000,2162126.2,1362126.25,2.7026578125
Mark McKenzie,DF,Toulouse,fr Ligue 1,26.0,7000000,8353254.0,1353254.0,1.193322
Omri Gandelman,MF,Lecce,it Serie A,25.0,3000000,4308149.0,1308149.0,1.4360496666666667
Luca Ranieri,DF,Fiorentina,it Serie A,26.0,6000000,7305604.5,1305604.5,1.21760075
Sekou Mara,FW,Auxerre,fr Ligue 1,23.0,4000000,5301494.5,1301494.5,1.325373625
Brooke Norton-Cuffy,MF,Genoa,it Serie A,21.0,15000000,16287792.0,1287792.0,1.0858528
